ID_SEC;ID_PRO;QTD_PRO
1;17;0
1;21;0
1;31;0
1;47;0
1;67;0
1;68;0
1;70;0
1;82;0
1;86;0
1;95;0
1;178;0
1;204;0
1;399;0
1;429;0
1;447;0
1;609;0
1;645;0
1;653;0
1;755;0
1;1268;0
1;1397;0
1;1400;0
1;1402;0
1;1447;0
1;1520;0
1;1584;0
1;1734;0
1;1780;0
1;1845;0
1;1864;0
1;1866;0
1;1895;0
1;1907;0
1;1914;0
1;1917;0
1;1928;0
1;1988;0
1;1999;0
1;2056;0
1;2229;0
1;2325;0
1;2341;0
1;2345;0
1;2348;0
1;2352;0
1;2435;0
1;2499;0
1;2572;0
1;2867;0
1;2886;0
1;2898;0
1;2974;0
1;3037;0
1;3176;0
1;3190;0
1;3245;0
1;3280;0
1;3284;0
1;3373;0
1;3529;0
1;3549;0
1;3550;0
1;3573;0
1;3574;0
1;3593;0
1;3634;0
1;3637;0
1;3727;0
1;3730;0
1;3732;0
1;3817;0
1;4107;0
1;4108;0
1;4119;0
1;4126;0
1;4143;0
1;4197;0
1;4236;0
1;4241;0
1;4451;0
1;4515;0
1;4612;0
1;4647;0
1;4815;0
1;4913;0
1;5001;0
1;5014;0
1;5021;0
1;5022;0
1;5039;0
1;5040;0
1;5247;0
1;5273;0
1;5295;0
1;5303;0
1;5381;0
1;5401;0
1;5408;0
1;5442;0
1;5443;0
1;5463;0
1;5575;0
1;5576;0
1;5577;0
1;5578;0
1;5619;0
1;5629;0
1;5647;0
1;5673;0
1;5709;0
1;5711;0
1;5712;0
1;5721;0
1;5722;0
1;5724;0
1;5725;0
1;5726;0
1;5727;0
1;5728;0
1;5729;0
1;5730;0
1;5731;0
1;5732;0
1;5733;0
1;5734;0
1;5735;0
1;5736;0
1;5737;0
1;5738;0
1;5739;0
1;5740;0
1;5741;0
1;5748;0
1;5751;0
1;5756;0
1;5761;0
1;5765;0
1;5773;0
1;5774;0
1;5776;0
1;5781;0
1;5790;0
1;5791;0
1;5793;0
1;5795;0
1;5796;0
1;5831;0
1;5882;0
1;5883;0
1;5893;0
1;5894;0
1;5896;0
1;5897;0
1;5899;0
1;5955;0
1;5956;0
1;5957;0
1;5978;0
1;5979;0
1;5980;0
1;5981;0
1;5986;0
1;5987;0
1;5999;0
1;6006;0
1;6091;0
